Academic Year,County Code,District Code,School Code,County Name,District Name,School Name,District Type,School Type,"Educational  Option Type","NSLP  Provision  Status","Charter  School  (Y/N)","Charter  School  Number","Charter  Funding  Type",IRC,Low Grade,High Grade,"Enrollment  (K-12)","Free Meal  Count  (K-12)","Percent (%)  Eligible Free  (K-12)","FRPM Count  (K-12)","Percent (%)  Eligible FRPM  (K-12)","Enrollment  (Ages 5-17)","Free Meal  Count  (Ages 5-17)","Percent (%)  Eligible Free  (Ages 5-17)","FRPM Count  (Ages 5-17)","Percent (%)  Eligible FRPM  (Ages 5-17)","2013-14  CALPADS Fall 1  Certification Status"
2014-2015,34,67421,6033740,Sacramento,Robla Elementary,Robla Elementary,Elementary School District,Elementary Schools (Public),Traditional,Provision 2,N,,,N,K,6,469,313,66.7%,392,83.6%,450,301,66.9%,376,83.6%,Y
2014-2015,34,67421,6033757,Sacramento,Robla Elementary,Taylor Street Elementary,Elementary School District,Elementary Schools (Public),Traditional,Provision 2,N,,,N,K,6,481,404,84%,438,91.1%,481,404,84%,438,91.1%,Y
2014-2015,34,67421,6112296,Sacramento,Robla Elementary,Glenwood Elementary,Elementary School District,Elementary Schools (Public),Traditional,Provision 2,N,,,N,K,6,499,435,87.2%,471,94.4%,483,421,87.2%,457,94.6%,Y
2014-2015,34,67439,0,Sacramento,Sacramento City Unified,District Office,Unified School District,N/A,N/A,,N/A,N/A,N/A,N/A,K,Adult,32,7,21.9%,7,21.9%,28,6,21.4%,6,21.4%,Y
2014-2015,34,67439,1,Sacramento,Sacramento City Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,,N/A,N/A,N/A,N/A,,,294,64,21.8%,66,22.4%,237,49,20.7%,51,21.5%,Y
2014-2015,34,67439,101048,Sacramento,Sacramento City Unified,St. HOPE Public School 7,Unified School District,Elementary Schools (Public),Traditional,,Y,491,Directly funded,Y,K,8,621,419,67.5%,503,81%,618,417,67.5%,500,80.9%,Y
2014-2015,34,67439,101295,Sacramento,Sacramento City Unified,Sol Aureus College Preparatory,Unified School District,Intermediate/Middle Schools (Public),Traditional,Breakfast Provision 2,Y,552,Directly funded,Y,K,8,299,168,56.2%,210,70.2%,296,166,56.1%,207,69.9%,Y
2014-2015,34,67439,101881,Sacramento,Sacramento City Unified,New Technology High,Unified School District,High Schools (Public),Traditional,Breakfast Provision 2,Y,585,Locally funded,N,9,12,276,153,55.4%,180,65.2%,271,151,55.7%,178,65.7%,Y
2014-2015,34,67439,101899,Sacramento,Sacramento City Unified,George Washington Carver School of Arts and Science,Unified School District,High Schools (Public),Traditional,Breakfast Provision 2,Y,588,Locally funded,N,9,12,306,104,34%,143,46.7%,293,99,33.8%,137,46.8%,Y
2014-2015,34,67439,101907,Sacramento,Sacramento City Unified,The MET,Unified School District,High Schools (Public),Traditional,,Y,586,Locally funded,N,9,12,312,122,39.1%,163,52.2%,300,115,38.3%,156,52%,Y
2014-2015,34,67439,101972,Sacramento,Sacramento City Unified,Rosemont High,Unified School District,High Schools (Public),Traditional,Breakfast Provision 2,N,,,N,9,12,1376,710,51.6%,889,64.6%,1317,679,51.6%,848,64.4%,Y
2014-2015,34,67439,102038,Sacramento,Sacramento City Unified,Sacramento Charter High,Unified School District,High Schools (Public),Traditional,,Y,596,Directly funded,Y,9,12,986,577,58.5%,677,68.7%,963,565,58.7%,663,68.8%,Y
2014-2015,34,67439,102343,Sacramento,Sacramento City Unified,Aspire Capitol Heights Academy,Unified School District,Elementary Schools (Public),Traditional,,Y,598,Directly funded,Y,K,8,301,225,74.8%,264,87.7%,293,222,75.8%,261,89.1%,Y
2014-2015,34,67439,106898,Sacramento,Sacramento City Unified,The Language Academy of Sacramento,Unified School District,Elementary Schools (Public),Traditional,Provision 2,Y,640,Directly funded,Y,K,8,515,296,57.5%,346,67.2%,504,296,58.7%,346,68.7%,Y
2014-2015,34,67439,108951,Sacramento,Sacramento City Unified,Arthur A. Benjamin Health Professions High,Unified School District,High Schools (Public),Traditional,Provision 2,N,,,N,9,12,227,164,72.2%,175,77.1%,214,154,72%,165,77.1%,Y
2014-2015,34,67439,111757,Sacramento,Sacramento City Unified,California Montessori Project - Capitol Campus,Unified School District,Elementary Schools (Public),Traditional,,Y,775,Directly funded,Y,K,8,328,55,16.8%,78,23.8%,328,55,16.8%,78,23.8%,Y
2014-2015,34,67439,113209,Sacramento,Sacramento City Unified,John Morse Therapeutic Center,Unified School District,Special Education Schools (Public),Special Education School,Provision 2,N,,,N,3,8,54,42,77.8%,45,83.3%,54,42,77.8%,45,83.3%,Y
2014-2015,34,67439,114546,Sacramento,Sacramento City Unified,School of Engineering & Sciences,Unified School District,Alternative Schools of Choice,Alternative School of Choice,Breakfast Provision 2,N,,,N,7,12,502,266,53%,321,63.9%,496,265,53.4%,320,64.5%,Y
2014-2015,34,67439,121665,Sacramento,Sacramento City Unified,Yav Pem Suab Academy - Preparing for the Future Charter,Unified School District,Elementary Schools (Public),Traditional,Provision 2,Y,1186,Directly funded,N,K,6,421,276,65.6%,314,74.6%,421,276,65.6%,314,74.6%,Y
2014-2015,34,67439,123901,Sacramento,Sacramento City Unified,Capitol Collegiate Academy,Unified School District,Elementary Schools (Public),Traditional,,Y,1273,Directly funded,Y,K,8,217,146,67.3%,157,72.4%,204,138,67.6%,149,73%,Y
2014-2015,34,67439,125591,Sacramento,Sacramento City Unified,Oak Park Preparatory Academy,Unified School District,Junior High Schools (Public),Traditional,,Y,1386,Directly funded,Y,7,8,134,84,62.7%,109,81.3%,134,84,62.7%,109,81.3%,Y
2014-2015,34,67439,131136,Sacramento,Sacramento City Unified,New Joseph Bonnheim (NJB) Community Charter,Unified School District,Elementary Schools (Public),Traditional,,Y,1690,Locally funded,N,K,6,260,220,84.6%,234,90%,259,219,84.6%,233,90%,Y
2014-2015,34,67439,3430154,Sacramento,Sacramento City Unified,American Legion High (Continuation),Unified School District,Continuation High Schools,Continuation School,Provision 2,N,,,N,9,12,291,235,80.8%,246,84.5%,201,162,80.6%,171,85.1%,Y
2014-2015,34,67439,3430519,Sacramento,Sacramento City Unified,Capital City Independent Study,Unified School District,Alternative Schools of Choice,Alternative School of Choice,,N,,,N,K,12,475,261,54.9%,290,61.1%,339,197,58.1%,223,65.8%,Y
2014-2015,34,67439,3430865,Sacramento,Sacramento City Unified,West Campus,Unified School District,High Schools (Public),Traditional,Breakfast Provision 2,N,,,N,9,12,850,369,43.4%,475,55.9%,834,359,43%,463,55.5%,Y
2014-2015,34,67439,3431012,Sacramento,Sacramento City Unified,Luther Burbank High,Unified School District,High Schools (Public),Traditional,Provision 2,N,,,N,9,12,1772,1223,69%,1276,72%,1643,1137,69.2%,1184,72.1%,Y
2014-2015,34,67439,3434636,Sacramento,Sacramento City Unified,Hiram W. Johnson High,Unified School District,High Schools (Public),Traditional,Provision 2,N,,,N,9,12,1449,1197,82.6%,1293,89.2%,1355,1123,82.9%,1214,89.6%,Y
2014-2015,34,67439,3434768,Sacramento,Sacramento City Unified,John F. Kennedy High,Unified School District,High Schools (Public),Traditional,Breakfast Provision 2,N,,,N,9,12,2139,928,43.4%,1132,52.9%,2072,895,43.2%,1092,52.7%,Y
2014-2015,34,67439,3435419,Sacramento,Sacramento City Unified,C. K. McClatchy High,Unified School District,High Schools (Public),Traditional,Breakfast Provision 2,N,,,N,9,12,2239,802,35.8%,912,40.7%,2148,767,35.7%,870,40.5%,Y
2014-2015,34,67439,6033765,Sacramento,Sacramento City Unified,A. M. Winn Waldorf-Inspired,Unified School District,Elementary Schools (Public),Traditional,Provision 2,N,,,N,K,8,387,239,61.8%,306,79.1%,381,237,62.2%,303,79.5%,Y
2014-2015,34,67439,6033799,Sacramento,Sacramento City Unified,Bowling Green Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2,Y,18,Locally funded,N,K,6,866,449,51.8%,465,53.7%,866,449,51.8%,465,53.7%,Y
2014-2015,34,67439,6033807,Sacramento,Sacramento City Unified,Bret Harte Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2,N,,,N,K,6,326,217,66.6%,238,73%,326,217,66.6%,238,73%,Y
2014-2015,34,67439,6033815,Sacramento,Sacramento City Unified,Caleb Greenwood Elementary,Unified School District,Elementary Schools (Public),Traditional,Breakfast Provision 2,N,,,N,K,6,445,87,19.6%,103,23.1%,445,87,19.6%,103,23.1%,Y
2014-2015,34,67439,6033823,Sacramento,Sacramento City Unified,Camellia Elementary,Unified School District,Elementary Schools (Public),Traditional,Breakfast Provision 2,N,,,N,K,6,458,271,59.2%,346,75.5%,458,271,59.2%,346,75.5%,Y
2014-2015,34,67439,6033831,Sacramento,Sacramento City Unified,Caroline Wenzel Elementary,Unified School District,Elementary Schools (Public),Traditional,Breakfast Provision 2,N,,,N,K,6,323,199,61.6%,237,73.4%,323,199,61.6%,237,73.4%,Y
2014-2015,34,67439,6033880,Sacramento,Sacramento City Unified,David Lubin Elementary,Unified School District,Elementary Schools (Public),Traditional,Breakfast Provision 2,N,,,N,K,6,544,239,43.9%,290,53.3%,544,239,43.9%,290,53.3%,Y
2014-2015,34,67439,6033906,Sacramento,Sacramento City Unified,Earl Warren Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2,N,,,N,K,6,524,404,77.1%,426,81.3%,524,404,77.1%,426,81.3%,Y
2014-2015,34,67439,6033914,Sacramento,Sacramento City Unified,Edward Kemble Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2,N,,,N,K,3,565,339,60%,350,61.9%,565,339,60%,350,61.9%,Y
2014-2015,34,67439,6033930,Sacramento,Sacramento City Unified,Elder Creek Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2,N,,,N,K,6,778,612,78.7%,662,85.1%,778,612,78.7%,662,85.1%,Y
2014-2015,34,67439,6033948,Sacramento,Sacramento City Unified,Ethel I. Baker Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2,N,,,N,K,6,739,672,90.9%,707,95.7%,739,672,90.9%,707,95.7%,Y
2014-2015,34,67439,6033955,Sacramento,Sacramento City Unified,Ethel Phillips Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2,N,,,N,K,6,529,391,73.9%,410,77.5%,529,391,73.9%,410,77.5%,Y
2014-2015,34,67439,6033997,Sacramento,Sacramento City Unified,H. W. Harkness Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2,N,,,N,K,6,389,258,66.3%,276,71%,376,255,67.8%,273,72.6%,Y
2014-2015,34,67439,6034003,Sacramento,Sacramento City Unified,Hollywood Park Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2,N,,,N,K,6,346,244,70.5%,290,83.8%,346,244,70.5%,290,83.8%,Y
2014-2015,34,67439,6034011,Sacramento,Sacramento City Unified,Hubert H. Bancroft Elementary,Unified School District,Elementary Schools (Public),Traditional,Breakfast Provision 2,N,,,N,K,6,528,225,42.6%,265,50.2%,515,225,43.7%,265,51.5%,Y
2014-2015,34,67439,6034029,Sacramento,Sacramento City Unified,Isador Cohen Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2,N,,,N,K,6,268,198,73.9%,225,84%,268,198,73.9%,225,84%,Y
2014-2015,34,67439,6034037,Sacramento,Sacramento City Unified,Leataata Floyd Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2,N,,,N,K,6,331,274,82.8%,274,82.8%,331,274,82.8%,274,82.8%,Y
2014-2015,34,67439,6034045,Sacramento,Sacramento City Unified,John Bidwell Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2,N,,,N,K,6,366,270,73.8%,309,84.4%,365,269,73.7%,308,84.4%,Y
2014-2015,34,67439,6034052,Sacramento,Sacramento City Unified,John Cabrillo Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2,N,,,N,K,6,357,276,77.3%,313,87.7%,357,276,77.3%,313,87.7%,Y
2014-2015,34,67439,6034060,Sacramento,Sacramento City Unified,John D. Sloat Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2,N,,,N,K,6,259,207,79.9%,215,83%,259,207,79.9%,215,83%,Y
2014-2015,34,67439,6034078,Sacramento,Sacramento City Unified,Alice Birney Waldorf-Inspired,Unified School District,Elementary Schools (Public),Traditional,Breakfast Provision 2,N,,,N,K,8,572,107,18.7%,157,27.4%,552,105,19%,153,27.7%,Y
2014-2015,34,67439,6034136,Sacramento,Sacramento City Unified,Mark Twain Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2,N,,,N,K,6,368,291,79.1%,340,92.4%,368,291,79.1%,340,92.4%,Y
2014-2015,34,67439,6034169,Sacramento,Sacramento City Unified,Nicholas Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2,N,,,N,K,6,636,454,71.4%,467,73.4%,636,454,71.4%,467,73.4%,Y
2014-2015,34,67439,6034177,Sacramento,Sacramento City Unified,O. W. Erlewine Elementary,Unified School District,Elementary Schools (Public),Traditional,Breakfast Provision 2,N,,,N,K,6,355,177,49.9%,213,60%,354,176,49.7%,212,59.9%,Y
2014-2015,34,67439,6034185,Sacramento,Sacramento City Unified,Oak Ridge Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2,N,,,N,K,6,535,493,92.1%,514,96.1%,535,493,92.1%,514,96.1%,Y
2014-2015,34,67439,6034193,Sacramento,Sacramento City Unified,Pacific Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2,N,,,N,K,6,742,506,68.2%,513,69.1%,729,502,68.9%,509,69.8%,Y
2014-2015,34,67439,6034201,Sacramento,Sacramento City Unified,Parkway Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2,N,,,N,K,6,609,531,87.2%,568,93.3%,609,531,87.2%,568,93.3%,Y
2014-2015,34,67439,6034219,Sacramento,Sacramento City Unified,Peter Burnett Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2,N,,,N,K,6,622,449,72.2%,488,78.5%,622,449,72.2%,488,78.5%,Y
2014-2015,34,67439,6034227,Sacramento,Sacramento City Unified,Phoebe A. Hearst Elementary,Unified School District,Elementary Schools (Public),Traditional,Breakfast Provision 2,N,,,N,K,6,649,80,12.3%,114,17.6%,649,80,12.3%,114,17.6%,Y
2014-2015,34,67439,6034235,Sacramento,Sacramento City Unified,Pony Express Elementary,Unified School District,Elementary Schools (Public),Traditional,Breakfast Provision 2,N,,,N,K,6,461,174,37.7%,242,52.5%,461,174,37.7%,242,52.5%,Y
2014-2015,34,67439,6034243,Sacramento,Sacramento City Unified,Crocker/Riverside Elementary,Unified School District,Elementary Schools (Public),Traditional,Breakfast Provision 2,N,,,N,K,6,651,64,9.8%,74,11.4%,651,64,9.8%,74,11.4%,Y
2014-2015,34,67439,6034250,Sacramento,Sacramento City Unified,Sequoia Elementary,Unified School District,Elementary Schools (Public),Traditional,Breakfast Provision 2,N,,,N,K,6,465,207,44.5%,265,57%,465,207,44.5%,265,57%,Y
2014-2015,34,67439,6034276,Sacramento,Sacramento City Unified,Sutterville Elementary,Unified School District,Elementary Schools (Public),Traditional,Breakfast Provision 2,N,,,N,K,6,621,224,36.1%,267,43%,621,224,36.1%,267,43%,Y
2014-2015,34,67439,6034284,Sacramento,Sacramento City Unified,Tahoe Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2,N,,,N,K,6,338,264,78.1%,296,87.6%,338,264,78.1%,296,87.6%,Y
2014-2015,34,67439,6034292,Sacramento,Sacramento City Unified,Theodore Judah Elementary,Unified School District,Elementary Schools (Public),Traditional,Breakfast Provision 2,N,,,N,K,6,602,168,27.9%,199,33.1%,589,167,28.4%,198,33.6%,Y
2014-2015,34,67439,6034326,Sacramento,Sacramento City Unified,William Land Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2,N,,,N,K,6,439,275,62.6%,308,70.2%,439,275,62.6%,308,70.2%,Y
2014-2015,34,67439,6034334,Sacramento,Sacramento City Unified,Woodbine Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2,N,,,N,K,6,334,273,81.7%,285,85.3%,334,273,81.7%,285,85.3%,Y
2014-2015,34,67439,6059273,Sacramento,Sacramento City Unified,Albert Einstein Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,Breakfast Provision 2,N,,,N,7,8,712,392,55.1%,497,69.8%,712,392,55.1%,497,69.8%,Y
2014-2015,34,67439,6059281,Sacramento,Sacramento City Unified,California Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,Breakfast Provision 2,N,,,N,7,8,762,402,52.8%,451,59.2%,762,402,52.8%,451,59.2%,Y
2014-2015,34,67439,6059299,Sacramento,Sacramento City Unified,Rosa Parks Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2,N,,,N,K,8,828,642,77.5%,664,80.2%,828,642,77.5%,664,80.2%,Y
2014-2015,34,67439,6059307,Sacramento,Sacramento City Unified,Fern Bacon Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,Provision 2,N,,,N,7,8,693,555,80.1%,574,82.8%,693,555,80.1%,574,82.8%,Y
2014-2015,34,67439,6059315,Sacramento,Sacramento City Unified,Leonardo Da Vinci,Unified School District,Elementary Schools (Public),Traditional,Breakfast Provision 2,N,,,N,K,8,830,213,25.7%,251,30.2%,816,210,25.7%,248,30.4%,Y
2014-2015,34,67439,6059323,Sacramento,Sacramento City Unified,John H. Still,Unified School District,Elementary Schools (Public),Traditional,Provision 2,N,,,N,K,8,949,682,71.9%,711,74.9%,948,681,71.8%,710,74.9%,Y
2014-2015,34,67439,6059356,Sacramento,Sacramento City Unified,Sam Brannan Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,Breakfast Provision 2,N,,,N,7,8,618,332,53.7%,410,66.3%,618,332,53.7%,410,66.3%,Y
2014-2015,34,67439,6059364,Sacramento,Sacramento City Unified,Will C. Wood Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,Provision 2,N,,,N,7,8,668,559,83.7%,579,86.7%,668,559,83.7%,579,86.7%,Y
2014-2015,34,67439,6061832,Sacramento,Sacramento City Unified,Kit Carson Middle,Unified School District,High Schools (Public),Traditional,Provision 2,N,,,N,7,9,344,243,70.6%,265,77%,344,243,70.6%,265,77%,Y
2014-2015,34,67439,6066690,Sacramento,Sacramento City Unified,Sutter Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,Breakfast Provision 2,N,,,N,7,8,1162,423,36.4%,550,47.3%,1162,423,36.4%,550,47.3%,Y
2014-2015,34,67439,6071336,Sacramento,Sacramento City Unified,Susan B. Anthony Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2,N,,,N,K,6,262,195,74.4%,201,76.7%,261,195,74.7%,201,77%,Y
2014-2015,34,67439,6096150,Sacramento,Sacramento City Unified,James Marshall Elementary,Unified School District,Elementary Schools (Public),Traditional,Breakfast Provision 2,N,,,N,K,6,397,213,53.7%,269,67.8%,397,213,53.7%,269,67.8%,Y
2014-2015,34,67439,6096168,Sacramento,Sacramento City Unified,Genevieve Didion,Unified School District,Elementary Schools (Public),Traditional,Breakfast Provision 2,N,,,N,K,8,639,75,11.7%,106,16.6%,639,75,11.7%,106,16.6%,Y
2014-2015,34,67439,6097083,Sacramento,Sacramento City Unified,Golden Empire Elementary,Unified School District,Elementary Schools (Public),Traditional,Breakfast Provision 2,N,,,N,K,6,612,332,54.2%,441,72.1%,612,332,54.2%,441,72.1%,Y
2014-2015,34,67439,6099808,Sacramento,Sacramento City Unified,Abraham Lincoln Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2,N,,,N,K,6,454,351,77.3%,398,87.7%,454,351,77.3%,398,87.7%,Y
2014-2015,34,67439,6107239,Sacramento,Sacramento City Unified,"Martin Luther King, Jr.",Unified School District,Elementary Schools (Public),Traditional,Breakfast Provision 2,N,,,N,K,8,475,243,51.2%,304,64%,475,243,51.2%,304,64%,Y
2014-2015,34,67439,6110662,Sacramento,Sacramento City Unified,Father Keith B. Kenny,Unified School District,Elementary Schools (Public),Traditional,Provision 2,N,,,N,K,8,436,355,81.4%,369,84.6%,436,355,81.4%,369,84.6%,Y
2014-2015,34,67439,6111389,Sacramento,Sacramento City Unified,Matsuyama Elementary,Unified School District,Elementary Schools (Public),Traditional,Breakfast Provision 2,N,,,N,K,6,663,201,30.3%,253,38.2%,663,201,30.3%,253,38.2%,Y
2014-2015,34,67439,6117097,Sacramento,Sacramento City Unified,Success Academy,Unified School District,District Community Day Schools,Community Day School,Breakfast Provision 2,N,,,N,4,8,9,5,55.6%,6,66.7%,9,5,55.6%,6,66.7%,Y
2014-2015,34,67439,6119440,Sacramento,Sacramento City Unified,Cesar Chavez Intermediate,Unified School District,Elementary Schools (Public),Traditional,Provision 2,N,,,N,4,6,352,269,76.4%,283,80.4%,352,269,76.4%,283,80.4%,Y
2014-2015,34,67447,0,Sacramento,San Juan Unified,District Office,Unified School District,N/A,N/A,,N/A,N/A,N/A,N/A,P,Adult,50,8,16%,11,22%,46,8,17.4%,11,23.9%,Y
2014-2015,34,67447,1,Sacramento,San Juan Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,,N/A,N/A,N/A,N/A,,,63,32,50.8%,32,50.8%,52,32,61.5%,32,61.5%,Y
2014-2015,34,67447,112169,Sacramento,San Juan Unified,California Montessori Project-San Juan Campus,Unified School District,Elementary Schools (Public),Traditional,,Y,776,Directly funded,Y,K,8,1213,210,17.3%,306,25.2%,1181,205,17.4%,299,25.3%,Y
2014-2015,34,67447,114983,Sacramento,San Juan Unified,Golden Valley Charter School of Sacramento,Unified School District,Elementary Schools (Public),Traditional,,Y,946,Directly funded,Y,K,8,466,118,25.3%,170,36.5%,460,118,25.7%,169,36.7%,Y
2014-2015,34,67447,120469,Sacramento,San Juan Unified,Aspire Alexander Twilight College Preparatory Academy,Unified School District,Elementary Schools (Public),Traditional,,Y,1554,Directly funded,Y,K,5,426,266,62.4%,328,77%,416,260,62.5%,321,77.2%,Y
2014-2015,34,67447,121467,Sacramento,San Juan Unified,Aspire Alexander Twilight Secondary Academy,Unified School District,K-12 Schools (Public),Traditional,,Y,1555,Directly funded,Y,6,12,365,241,66%,276,75.6%,363,241,66.4%,276,76%,Y
2014-2015,34,67447,128124,Sacramento,San Juan Unified,Gateway International,Unified School District,Elementary Schools (Public),Traditional,,Y,1563,Directly funded,Y,K,8,446,286,64.1%,372,83.4%,436,280,64.2%,363,83.3%,Y
2014-2015,34,67447,3430048,Sacramento,San Juan Unified,Mesa Verde High,Unified School District,High Schools (Public),Traditional,,N,,,N,9,12,961,500,52%,613,63.8%,941,491,52.2%,603,64.1%,Y
2014-2015,34,67447,3430097,Sacramento,San Juan Unified,La Entrada Continuation High,Unified School District,Continuation High Schools,Continuation School,,N,,,N,9,12,69,36,52.2%,39,56.5%,47,20,42.6%,23,48.9%,Y
2014-2015,34,67447,3430386,Sacramento,San Juan Unified,El Sereno Alternative Education,Unified School District,Alternative Schools of Choice,Alternative School of Choice,,N,,,N,9,12,207,63,30.4%,68,32.9%,146,49,33.6%,52,35.6%,Y
2014-2015,34,67447,3430394,Sacramento,San Juan Unified,La Vista Center,Unified School District,Special Education Schools (Public),Special Education School,,N,,,N,6,12,84,67,79.8%,73,86.9%,73,59,80.8%,65,89%,Y
2014-2015,34,67447,3430493,Sacramento,San Juan Unified,Bella Vista High,Unified School District,High Schools (Public),Traditional,,N,,,N,9,12,2001,389,19.4%,488,24.4%,1966,381,19.4%,480,24.4%,Y
2014-2015,34,67447,3430691,Sacramento,San Juan Unified,Options for Youth-San Juan,Unified School District,K-12 Schools (Public),Traditional,,Y,217,Directly funded,Y,7,12,776,454,58.5%,547,70.5%,558,312,55.9%,389,69.7%,Y
2014-2015,34,67447,3430717,Sacramento,San Juan Unified,Visions In Education,Unified School District,K-12 Schools (Public),Traditional,,Y,248,Locally funded,N,K,12,5051,1709,33.8%,2476,49%,4718,1527,32.4%,2248,47.6%,Y
2014-2015,34,67447,3430758,Sacramento,San Juan Unified,San Juan Choices Charter,Unified School District,K-12 Schools (Public),Traditional,,Y,275,Locally funded,N,6,12,226,100,44.2%,101,44.7%,205,91,44.4%,92,44.9%,Y
2014-2015,34,67447,3431111,Sacramento,San Juan Unified,Casa Roble Fundamental High,Unified School District,High Schools (Public),Traditional,,N,,,N,9,12,1330,337,25.3%,431,32.4%,1296,333,25.7%,425,32.8%,Y
2014-2015,34,67447,3432051,Sacramento,San Juan Unified,Del Campo High,Unified School District,High Schools (Public),Traditional,,N,,,N,9,12,1803,647,35.9%,780,43.3%,1758,625,35.6%,758,43.1%,Y
2014-2015,34,67447,3432317,Sacramento,San Juan Unified,El Camino Fundamental High,Unified School District,High Schools (Public),Traditional,,N,,,N,9,12,1570,589,37.5%,690,43.9%,1542,573,37.2%,671,43.5%,Y
2014-2015,34,67447,3432838,Sacramento,San Juan Unified,Encina Preparatory High,Unified School District,K-12 Schools (Public),Traditional,,N,,,N,6,12,960,844,87.9%,872,90.8%,896,800,89.3%,827,92.3%,Y
2014-2015,34,67447,3435930,Sacramento,San Juan Unified,Mira Loma High,Unified School District,High Schools (Public),Traditional,,N,,,N,9,12,1667,632,37.9%,715,42.9%,1621,607,37.4%,687,42.4%,Y
2014-2015,34,67447,3436714,Sacramento,San Juan Unified,Rio Americano High,Unified School District,High Schools (Public),Traditional,,N,,,N,9,12,1591,300,18.9%,342,21.5%,1537,289,18.8%,329,21.4%,Y
2014-2015,34,67447,3438504,Sacramento,San Juan Unified,San Juan High,Unified School District,High Schools (Public),Traditional,,N,,,N,9,12,712,455,63.9%,496,69.7%,663,428,64.6%,468,70.6%,Y
2014-2015,34,67447,6034342,Sacramento,San Juan Unified,Arcade Fundamental Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,,N,,,N,6,8,543,240,44.2%,272,50.1%,543,240,44.2%,272,50.1%,Y
2014-2015,34,67447,6034359,Sacramento,San Juan Unified,Arden Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,,N,,,N,6,8,937,273,29.1%,312,33.3%,937,273,29.1%,312,33.3%,Y
2014-2015,34,67447,6034367,Sacramento,San Juan Unified,Arlington Heights Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,272,147,54%,170,62.5%,272,147,54%,170,62.5%,Y
2014-2015,34,67447,6034375,Sacramento,San Juan Unified,John Barrett Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,,N,,,N,6,8,676,351,51.9%,395,58.4%,676,351,51.9%,395,58.4%,Y
2014-2015,34,67447,6034383,Sacramento,San Juan Unified,Cameron Ranch Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,365,272,74.5%,303,83%,365,272,74.5%,303,83%,Y
2014-2015,34,67447,6034391,Sacramento,San Juan Unified,Carmichael Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,379,275,72.6%,305,80.5%,361,263,72.9%,293,81.2%,Y
2014-2015,34,67447,6034409,Sacramento,San Juan Unified,Andrew Carnegie Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,,N,,,N,6,8,1036,284,27.4%,340,32.8%,1036,284,27.4%,340,32.8%,Y
2014-2015,34,67447,6034425,Sacramento,San Juan Unified,Winston Churchill Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,,N,,,N,6,8,1076,387,36%,438,40.7%,1076,387,36%,438,40.7%,Y
2014-2015,34,67447,6034433,Sacramento,San Juan Unified,Citrus Heights Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,358,179,50%,208,58.1%,334,171,51.2%,200,59.9%,Y
2014-2015,34,67447,6034441,Sacramento,San Juan Unified,Cottage Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,320,220,68.8%,250,78.1%,305,217,71.1%,246,80.7%,Y
